id,type,name
raydium,dex,Raydium
orca,dex,Orca
raydium-clmm,dex,Raydium (CLMM)
fluxbeam,dex,FluxBeam
meteora,dex,Meteora
dexlab,dex,Dexlab
daos-fun,dex,Daos.fun
pumpswap,dex,PumpSwap
virtuals-solana,dex,Virtuals (Solana)
boop-fun,dex,Boop.fun
saros-amm,dex,Saros AMM
meteora-dbc,dex,Meteora DBC
byreal,dex,Byreal
pancakeswap-v3-solana,dex,Pancakeswap V3 (Solana)
meteora-damm-v2,dex,Meteora DAMM V2
raydium-launchlab,dex,Raydium Launchlab
pump-fun,dex,Pump.fun
saros-dlmm,dex,Saros DLMM
wavebreak,dex,Wavebreak
heaven,dex,Heaven
